30894	101770952	0
103021	1001	0
4597	6301	0
21266	70067400	0
21266	70110697	0
47158	1001	0
5289	301029001	0
5854	443003264	0
38768	1006	0
5854	165004151	0
15099	2001	0
4597	6243	0
10945	75876	0
21266	70111079	0
57021	1001	0
4597	3156	0
2510	616	0
72145	1020	0
10945	18476	0
10945	02999	0
30894	101206023	0
4597	3693	0
29625	101	0
80252	1001	0
21266	70103163	0
5854	146136494	0
116118	1001	0
19618	10004	0
3311	8089	0
3221	3391	0
30894	10562952	0
113576	1001	0
77906	1001	0
21266	70124373	0
3317	002	0
30894	10886152	0
59105	1001	0
21266	70080254	0
109892	1001	0
9183	7976	0
21807	1001	0
5854	073120651	0
4597	4388	0
77447	1003	0
45372	02	0
21266	70120520	0
21266	70067954	0
4597	4553	0
21266	70083019	0
5854	487010134	0
10945	76169	0
2488	7733	0
14808	1001	0
30894	101801452	0
114977	1001	0
44287	2528	0
5854	078068806	0
1444	04090	0
44287	2221	0
30894	101081501	0
4597	3729	0
98763	1001	0
21266	70112397	0
44219	1001	0
20394	6464	0
30894	10766352	0
44287	2815	0
30894	101696752	0
44287	1027	0
30894	101463952	0
30894	10613852	0
21266	70052600	0
30894	10386652	0
30894	10638523	0
30894	10993252	0
30894	10165452	0
3911	00270	517
4597	5468	0
10945	89631	0
1246	2018010050	0
10945	89395	0
10945	70790	0
1246	2016010040	0
2134	0001	320
21266	70023411	0
21266	70032503	0
21266	70122852	0
4597	3597	0
4228	924	0
111741	1001	0
114595	1008	0
30894	101601352	0
18942	1	0
8030	0107	0
21266	70026836	0
5854	015162290	0
10945	90547	0
29375	1001	0
2089	12399613	0
51710	1001	0
14620	9	0
10945	89997	0
30894	101406752	0
21266	70090501	0
10945	71852	0
30894	102082552	0
5854	311154629	0
30894	102010852	0
21266	70122322	0
4597	2240	0
5854	636003071	0
1246	201912004	0
10945	75674	0
36527	01	0
1194	2030	0
4597	1561	0
21266	70033576	0
10945	75253	0
30894	101766052	0
21266	70123995	0
10945	02530	0
10945	89607	0
30894	10747852	0
4597	5845	0
72964	1001	0
7394	383	0
113578	1001	0
5854	656031424	0
21266	70106612	0
1051	897	0
4597	7039	0
4597	5489	0
10945	70851	0
8147	2900	0
30894	101439852	0
104482	1001	0
4597	5795	0
21266	70124661	0
32962	100007	0
8194	5786	0
4210	0001	0
5854	033218934	0
30894	101390552	0
18312	03	0
10945	71463	0
21266	70062641	0
74471	1001	0
21266	70068457	0
21266	70111925	0
1246	201713001	0
5854	505055368	0
4597	4984	0
105385	1001	0
21266	70050422	0
5854	35042126	0
31056	1101	0
5854	213006109	0
21266	70124027	0
4597	6914	0
20394	0192	39
10945	89013	0
1444	04624	0
43171	1001	0
71115	1001	0
33422	1001	0
1444	04766	0
25055	901113195	0
44287	2391	0
109034	1001	0
4597	5972	0
1194	2045	0
1246	2016010027	0
21266	70082094	0
21266	70088059	0
30894	101574852	0
38234	1001	0
21266	70016795	0
33442	9186	0
30894	102086852	0
2575	4137001	0
86264	2	0
5854	084090034	0
4597	6052	0
53854	11001	0
30894	101284401	0
21266	70074059	0
95920	1001	0
5854	403140023	0
30894	10736852	0
30894	101708652	0
21266	70012851	0
19649	211002942	0
30894	101897152	0
394	91069	63494
30894	10051101	0
4597	926	0
3311	8010	0
2838	1945	0
95466	1001	0
4597	5980	0
10945	71284	0
22939	111972	0
4597	7302	0
22939	9255	0
5854	928000900	0
5854	035094655	0
21266	70124022	0
10945	70435	0
30894	10042752	0
5854	866000060	0
30894	10743323	0
3644	60202	1320
21266	70038252	0
30894	10332352	0
30894	10584023	0
30894	10007801	0
21266	70111987	0
21266	70101506	0
30894	101435552	0
30894	101423452	0
30894	101289252	0
21266	0602	0
97889	8600452627	0
10945	71069	0
21499	1001	0
3911	00103	2573
30894	101239423	0
12833	1001	0
5854	339000382	0
44287	2457	0
29869	1001	0
33456	1001	0
4597	6585	0
21266	70045596	0
21266	70076575	0
80018	1001	0
30894	101784752	0
11459	1002	0
21266	70073945	0
21266	70051982	0
47256	1001	0
30894	101364801	0
1117	8600272021	0
83227	1001	0
1246	2011010022	0
30894	10794852	0
21266	70037510	0
21266	70123770	0
10945	75458	0
1246	2012010049	0
7775	5436	0
10945	75007	0
10945	72805	0
4597	5853	0
21266	70112197	0
1904	800227937	0
29598	1001	0
30894	101060452	0
79366	1001	0
10945	73211	0
40618	1006	0
10945	73192	0
1051	669	0
5289	301212005	0
1246	201314014	0
21266	70042460	0
19649	2130221067	0
30894	101481052	0
107594	1001	0
10945	75726	0
1444	07051	0
4597	5142	0
5854	146135413	0
10945	18868	0
21266	70083613	0
5854	073131302	0
21266	70030523	0
5854	120091186	0
1246	2012060093	0
5669	0001	0
14157	1001	0
19553	1001	0
56371	1002	0
56677	30030201	0
30894	101581952	0
21266	70096763	0
